"","datetime","ValidID","Forecast"
"18381",2019-02-27 16:00:00,5344,66.5155563354492
"18314",2019-02-27 16:00:00,5345,66.5155563354492
"18331",2019-02-27 16:00:00,5346,66.5155563354492
"18322",2019-02-27 16:00:00,5353,66.5157318115234
"18363",2019-02-27 16:00:00,6811,66.5283279418945
"18398",2019-02-27 16:00:00,6812,66.5283279418945
"18349",2019-02-27 16:00:00,6813,66.5283279418945
"18408",2019-02-27 16:00:00,6831,66.5283279418945
"18326",2019-02-27 16:15:00,5324,38.3546142578125
"18370",2019-02-27 16:15:00,5325,38.3546142578125
"18336",2019-02-27 16:15:00,5327,38.3546142578125
"18384",2019-02-27 16:15:00,5330,38.4115257263184
"18391",2019-02-27 16:15:00,5331,38.4115257263184
"18401",2019-02-27 16:15:00,5332,38.4115257263184
"18399",2019-02-27 16:15:00,5333,38.4115257263184
"18402",2019-02-27 16:15:00,5334,40.3897399902344
"18389",2019-02-27 16:15:00,5335,40.3897399902344
"18356",2019-02-27 16:15:00,5336,40.7242660522461
"18368",2019-02-27 16:15:00,5337,40.7242660522461
"18346",2019-02-27 16:15:00,5339,40.8849601745605
"18341",2019-02-27 16:15:00,5340,41.0682258605957
"18347",2019-02-27 16:15:00,5341,41.1228828430176
"18352",2019-02-27 16:15:00,5342,66.518928527832
"18374",2019-02-27 16:15:00,5343,66.5155563354492
"18366",2019-02-27 16:15:00,5344,66.5155563354492
"18315",2019-02-27 16:15:00,5345,66.5155563354492
"18321",2019-02-27 16:15:00,5346,66.5155563354492
"18332",2019-02-27 16:15:00,5353,66.5157318115234
"18364",2019-02-27 16:15:00,6811,66.5283279418945
"18386",2019-02-27 16:15:00,6812,66.5283279418945
"18350",2019-02-27 16:15:00,6813,66.5283279418945
"18407",2019-02-27 16:15:00,6831,66.5283279418945
"18327",2019-02-27 16:30:00,5324,38.3546142578125
"18371",2019-02-27 16:30:00,5325,38.3546142578125
"18337",2019-02-27 16:30:00,5327,38.3546142578125
"18385",2019-02-27 16:30:00,5330,38.4115257263184
"18392",2019-02-27 16:30:00,5331,38.4115257263184
"18393",2019-02-27 16:30:00,5332,38.4115257263184
"18361",2019-02-27 16:30:00,5333,38.4115257263184
"18403",2019-02-27 16:30:00,5334,40.3897399902344
"18390",2019-02-27 16:30:00,5335,40.3897399902344
"18343",2019-02-27 16:30:00,5336,40.7242660522461
"18355",2019-02-27 16:30:00,5337,40.7242660522461
"18334",2019-02-27 16:30:00,5339,40.8849601745605
"18342",2019-02-27 16:30:00,5340,41.0682258605957
"18317",2019-02-27 16:30:00,5341,41.1228828430176
"18339",2019-02-27 16:30:00,5342,66.518928527832
"18375",2019-02-27 16:30:00,5343,66.5155563354492
"18353",2019-02-27 16:30:00,5344,66.5155563354492
"18323",2019-02-27 16:30:00,5345,66.5155563354492
"18329",2019-02-27 16:30:00,5346,66.5155563354492
"18333",2019-02-27 16:30:00,5353,66.5157318115234
"18378",2019-02-27 16:30:00,6811,66.5283279418945
"18357",2019-02-27 16:30:00,6812,66.5283279418945
"18351",2019-02-27 16:30:00,6813,66.5283279418945
"18395",2019-02-27 16:30:00,6831,66.5283279418945
"18324",2019-02-27 16:45:00,5324,38.3546142578125
"18372",2019-02-27 16:45:00,5325,38.3546142578125
"18338",2019-02-27 16:45:00,5327,38.3546142578125
"18373",2019-02-27 16:45:00,5330,38.4115257263184
"18380",2019-02-27 16:45:00,5331,38.4115257263184
"18394",2019-02-27 16:45:00,5332,38.4115257263184
"18362",2019-02-27 16:45:00,5333,38.4115257263184
"18382",2019-02-27 16:45:00,5334,40.3897399902344
"18348",2019-02-27 16:45:00,5335,40.3897399902344
"18344",2019-02-27 16:45:00,5336,40.7242660522461
"18330",2019-02-27 16:45:00,5337,40.7242660522461
"18313",2019-02-27 16:45:00,5339,40.8849601745605
"18319",2019-02-27 16:45:00,5340,41.0682258605957
"18318",2019-02-27 16:45:00,5341,41.1228828430176
"18340",2019-02-27 16:45:00,5342,66.518928527832
"18376",2019-02-27 16:45:00,5343,66.5155563354492
"18328",2019-02-27 16:45:00,5344,66.5155563354492
"18320",2019-02-27 16:45:00,5345,66.5155563354492
"18316",2019-02-27 16:45:00,5346,66.5155563354492
"18325",2019-02-27 16:45:00,5353,66.5157318115234
"18379",2019-02-27 16:45:00,6811,66.5283279418945
"18358",2019-02-27 16:45:00,6812,66.5283279418945
"18365",2019-02-27 16:45:00,6813,66.5283279418945
"18396",2019-02-27 16:45:00,6831,66.5283279418945
"18442",2019-02-27 17:00:00,5324,38.3546142578125
"18479",2019-02-27 17:00:00,5325,38.3546142578125
"18456",2019-02-27 17:00:00,5327,38.3546142578125
"18493",2019-02-27 17:00:00,5330,38.4115257263184
"18472",2019-02-27 17:00:00,5331,38.4115257263184
"18473",2019-02-27 17:00:00,5332,38.4115257263184
"18490",2019-02-27 17:00:00,5333,38.4115257263184
"18487",2019-02-27 17:00:00,5334,40.3897399902344
"18504",2019-02-27 17:00:00,5335,40.3897399902344
"18491",2019-02-27 17:00:00,5336,40.7242660522461
"18486",2019-02-27 17:00:00,5337,40.7242660522461
"18427",2019-02-27 17:00:00,5339,40.8849601745605
"18449",2019-02-27 17:00:00,5340,41.0682258605957
"18441",2019-02-27 17:00:00,5341,41.1228828430176
"18462",2019-02-27 17:00:00,5342,66.518928527832
"18500",2019-02-27 17:00:00,5343,66.5155563354492
"18476",2019-02-27 17:00:00,5344,66.5155563354492
"18425",2019-02-27 17:00:00,5345,66.5155563354492
"18439",2019-02-27 17:00:00,5346,66.5155563354492
"18413",2019-02-27 17:00:00,5353,66.5157318115234
"18471",2019-02-27 17:00:00,6811,66.5283279418945
"18480",2019-02-27 17:00:00,6812,66.5283279418945
"18470",2019-02-27 17:00:00,6813,66.5283279418945
"18498",2019-02-27 17:00:00,6831,66.5283279418945
"18443",2019-02-27 17:15:00,5324,38.3546142578125
"18478",2019-02-27 17:15:00,5325,38.3546142578125
"18457",2019-02-27 17:15:00,5327,38.3546142578125
"18466",2019-02-27 17:15:00,5330,38.4115257263184
"18460",2019-02-27 17:15:00,5331,38.4115257263184
"18474",2019-02-27 17:15:00,5332,38.4115257263184
"18481",2019-02-27 17:15:00,5333,38.4115257263184
"18501",2019-02-27 17:15:00,5334,40.3897399902344
"18497",2019-02-27 17:15:00,5335,40.3897399902344
"18477",2019-02-27 17:15:00,5336,40.7242660522461
"18463",2019-02-27 17:15:00,5337,40.7242660522461
"18428",2019-02-27 17:15:00,5339,40.8849601745605
"18436",2019-02-27 17:15:00,5340,41.0682258605957
"18429",2019-02-27 17:15:00,5341,41.1228828430176
"18421",2019-02-27 17:15:00,5342,66.518928527832
"18495",2019-02-27 17:15:00,5343,66.5155563354492
"18435",2019-02-27 17:15:00,5344,66.5155563354492
"18412",2019-02-27 17:15:00,5345,66.5155563354492
"18438",2019-02-27 17:15:00,5346,66.5155563354492
"18418",2019-02-27 17:15:00,5353,66.5157318115234
"18459",2019-02-27 17:15:00,6811,66.5283279418945
"18468",2019-02-27 17:15:00,6812,66.5283279418945
"18458",2019-02-27 17:15:00,6813,66.5283279418945
"18502",2019-02-27 17:15:00,6831,66.5283279418945
"18444",2019-02-27 17:30:00,5324,38.3546142578125
"18453",2019-02-27 17:30:00,5325,38.3546142578125
"18445",2019-02-27 17:30:00,5327,38.3546142578125
"18467",2019-02-27 17:30:00,5330,38.4115257263184
"18461",2019-02-27 17:30:00,5331,38.4115257263184
"18488",2019-02-27 17:30:00,5332,38.4115257263184
"18482",2019-02-27 17:30:00,5333,38.4115257263184
"18494",2019-02-27 17:30:00,5334,40.3897399902344
"18485",2019-02-27 17:30:00,5335,40.3897399902344
"18464",2019-02-27 17:30:00,5336,40.7242660522461
"18450",2019-02-27 17:30:00,5337,40.7242660522461
"18420",2019-02-27 17:30:00,5339,40.8849601745605
"18437",2019-02-27 17:30:00,5340,41.0682258605957
"18430",2019-02-27 17:30:00,5341,41.1228828430176
"18416",2019-02-27 17:30:00,5342,66.518928527832
"18492",2019-02-27 17:30:00,5343,66.5155563354492
"18422",2019-02-27 17:30:00,5344,66.5155563354492
"18409",2019-02-27 17:30:00,5345,66.5155563354492
"18424",2019-02-27 17:30:00,5346,66.5155563354492
"18419",2019-02-27 17:30:00,5353,66.5157318115234
"18447",2019-02-27 17:30:00,6811,66.5283279418945
"18465",2019-02-27 17:30:00,6812,66.5283279418945
"18446",2019-02-27 17:30:00,6813,66.5283279418945
"18503",2019-02-27 17:30:00,6831,66.5283279418945
"18432",2019-02-27 17:45:00,5324,38.3546142578125
"18454",2019-02-27 17:45:00,5325,38.3546142578125
"18433",2019-02-27 17:45:00,5327,38.3546142578125
"18455",2019-02-27 17:45:00,5330,38.4115257263184
"18475",2019-02-27 17:45:00,5331,38.4115257263184
"18489",2019-02-27 17:45:00,5332,38.4115257263184
"18483",2019-02-27 17:45:00,5333,38.4115257263184
"18499",2019-02-27 17:45:00,5334,40.3897399902344
"18469",2019-02-27 17:45:00,5335,40.3897399902344
"18452",2019-02-27 17:45:00,5336,40.7242660522461
"18451",2019-02-27 17:45:00,5337,40.7242660522461
"18417",2019-02-27 17:45:00,5339,40.8849601745605
"18414",2019-02-27 17:45:00,5340,41.0682258605957
"18431",2019-02-27 17:45:00,5341,41.1228828430176
"18410",2019-02-27 17:45:00,5342,66.518928527832
"18484",2019-02-27 17:45:00,5343,66.5155563354492
"18423",2019-02-27 17:45:00,5344,66.5155563354492
"18411",2019-02-27 17:45:00,5345,66.5155563354492
"18426",2019-02-27 17:45:00,5346,66.5155563354492
"18415",2019-02-27 17:45:00,5353,66.5157318115234
"18448",2019-02-27 17:45:00,6811,66.5283279418945
"18440",2019-02-27 17:45:00,6812,66.5283279418945
"18434",2019-02-27 17:45:00,6813,66.5283279418945
"18496",2019-02-27 17:45:00,6831,66.5283279418945
"18515",2019-02-27 18:00:00,5324,38.3546142578125
"18574",2019-02-27 18:00:00,5325,38.3546142578125
"18516",2019-02-27 18:00:00,5327,38.3546142578125
"18588",2019-02-27 18:00:00,5330,38.4115257263184
"18567",2019-02-27 18:00:00,5331,38.4115257263184
"18581",2019-02-27 18:00:00,5332,38.4115257263184
"18589",2019-02-27 18:00:00,5333,38.4115257263184
"18582",2019-02-27 18:00:00,5334,40.3897399902344
"18598",2019-02-27 18:00:00,5335,40.3897399902344
"18573",2019-02-27 18:00:00,5336,40.7242660522461
"18559",2019-02-27 18:00:00,5337,40.7242660522461
"18522",2019-02-27 18:00:00,5339,40.8849601745605
"18508",2019-02-27 18:00:00,5340,41.0682258605957
"18514",2019-02-27 18:00:00,5341,41.1228828430176
"18509",2019-02-27 18:00:00,5342,66.518928527832
"18591",2019-02-27 18:00:00,5343,66.5155563354492
"18532",2019-02-27 18:00:00,5344,66.5155563354492
"18511",2019-02-27 18:00:00,5345,66.5155563354492
"18592",2019-02-27 18:00:00,5346,66.5155563354492
"18521",2019-02-27 18:00:00,5353,66.5157318115234
"18566",2019-02-27 18:00:00,6811,66.5283279418945
"18562",2019-02-27 18:00:00,6812,66.5283279418945
"18539",2019-02-27 18:00:00,6813,66.5283279418945
"18595",2019-02-27 18:00:00,6831,66.5283279418945
"18507",2019-02-27 18:15:00,5324,38.3546142578125
"18560",2019-02-27 18:15:00,5325,38.3546142578125
"18526",2019-02-27 18:15:00,5327,38.3546142578125
"18561",2019-02-27 18:15:00,5330,38.4115257263184
"18555",2019-02-27 18:15:00,5331,38.4115257263184
"18556",2019-02-27 18:15:00,5332,38.4115257263184
"18563",2019-02-27 18:15:00,5333,38.4115257263184
"18570",2019-02-27 18:15:00,5334,40.3897399902344
"18600",2019-02-27 18:15:00,5335,40.3897399902344
"18546",2019-02-27 18:15:00,5336,40.7242660522461
"18519",2019-02-27 18:15:00,5337,40.7242660522461
"18558",2019-02-27 18:15:00,5339,40.8849601745605
"18523",2019-02-27 18:15:00,5340,41.0682258605957
"18506",2019-02-27 18:15:00,5341,41.1228828430176
"18524",2019-02-27 18:15:00,5342,66.518928527832
"18577",2019-02-27 18:15:00,5343,66.5155563354492
"18538",2019-02-27 18:15:00,5344,66.5155563354492
"18517",2019-02-27 18:15:00,5345,66.5155563354492
"18565",2019-02-27 18:15:00,5346,66.5155563354492
"18531",2019-02-27 18:15:00,5353,66.5157318115234
"18554",2019-02-27 18:15:00,6811,66.5283279418945
"18550",2019-02-27 18:15:00,6812,66.5283279418945
"18553",2019-02-27 18:15:00,6813,66.5283279418945
"18596",2019-02-27 18:15:00,6831,66.5283279418945
"18513",2019-02-27 18:30:00,5324,38.3546142578125
"18548",2019-02-27 18:30:00,5325,38.3546142578125
"18540",2019-02-27 18:30:00,5327,38.3546142578125
"18549",2019-02-27 18:30:00,5330,38.4115257263184
